Daraz SKU ID
124874337_PK-1396984551
125680816_PK-1283734930
319885627_PK-1697474264
109364843_PK-1259556366
218260790_PK-1429423464
309347307_PK-1644431069
104526254_PK-1250948444
183764371_PK-1366872112
361285657_PK-1810451740
331257304_PK-1717520291
